Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,0004-6280,1538-3873,IOP PUBLISHING LTD,"TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE",English,Astronomy & Astrophysics
PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,0034-5318,1663-4926,"KYOTO UNIV, PUBLICATIONS RESEARCH INST MATHEMATICAL SCIENCES","OIWAKECHO, KITASHIRAKAWA, SAKYOKU, KYOTO, JAPAN, 606-8502",Multi-Language,Mathematics
PUBLIC HEALTH,0033-3506,1476-5616,W B SAUNDERS CO LTD,"32 JAMESTOWN RD, LONDON, ENGLAND, NW1 7BY",English,"Public, Environmental & Occupational Health"
PUBLIC HEALTH ETHICS,1754-9973,1754-9981,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Public, Environmental & Occupational Health | Medical Ethics"
PUBLIC HEALTH GENOMICS,1662-4246,1662-8063,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",English,"Genetics & Heredity | Public, Environmental & Occupational Health"
PUBLIC HEALTH NURSING,0737-1209,1525-1446,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Public, Environmental & Occupational Health | Nursing"
PUBLIC HEALTH NUTRITION,1368-9800,1475-2727,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,"Public, Environmental & Occupational Health | Nutrition & Dietetics"
PUBLIC HEALTH REPORTS,0033-3549,1468-2877,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Public, Environmental & Occupational Health"
PUERTO RICO HEALTH SCIENCES JOURNAL,0738-0658,2373-6011,UNIV PUERTO RICO MEDICAL SCIENCES CAMPUS,"OFFICE DEAN ACADEMIC AFFAIRS BOX 365067, SAN JUAN, USA, PR, 00936-5067",English,"Public, Environmental & Occupational Health"
PULMONARY CIRCULATION,2045-8932,2045-8940,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Cardiac & Cardiovascular System | Respiratory System
PULMONARY PHARMACOLOGY & THERAPEUTICS,1094-5539,1522-9629,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",English,Pharmacology & Pharmacy | Respiratory System
PULMONOLOGY,2531-0437,2531-0437,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Respiratory System
PULP & PAPER-CANADA,0316-4004,1923-3515,PULP & PAPER CANADA MAGAZINE GROUP-BIG MAGAZINE LP,"80 VALLEYBROOK, TORONTO, CANADA, ON, M38 2S9",English,"Materials Science, Paper & Wood"
PURE AND APPLIED CHEMISTRY,0033-4545,1365-3075,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",English,"Chemistry, Multidisciplinary"
PURE AND APPLIED GEOPHYSICS,0033-4553,1420-9136,SPRINGER BASEL AG,"PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052",English,Geochemistry & Geophysics
PURE AND APPLIED MATHEMATICS QUARTERLY,1558-8599,1558-8602,"INT PRESS BOSTON, INC","PO BOX 43502, SOMERVILLE, USA, MA, 02143",English,"Mathematics, Applied | Mathematics"
PURINERGIC SIGNALLING,1573-9538,1573-9546,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Neurosciences
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725,1460-2393,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Medicine, General & Internal"
QUAESTIONES MATHEMATICAE,1607-3606,1727-933X,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Mathematics
QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH,2159-676X,2159-6778,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Sport Sciences
QUALITATIVE THEORY OF DYNAMICAL SYSTEMS,1575-5460,1662-3592,SPRINGER BASEL AG,"PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052",English,"Mathematics, Applied | Mathematics"
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,0748-8017,1099-1638,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Engineering, Multidisciplinary | Engineering, Industrial | Operations Research & Management Science"
QUALITY ASSURANCE AND SAFETY OF CROPS & FOODS,1757-8361,1757-837X,CODON PUBLICATIONS,"LEVEL 9, 167 EAGLE ST, BRISBANE, Australia, QLD, 4000",English,Food Science & Technology
QUALITY ENGINEERING,0898-2112,1532-4222,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Engineering, Industrial | Statistics & Probability"
QUALITY MANAGEMENT IN HEALTH CARE,1063-8628,1550-5154,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Health Care Sciences & Services
QUALITY OF LIFE RESEARCH,0962-9343,1573-2649,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Health Care Sciences & Services | Public, Environmental & Occupational Health"
QUALITY TECHNOLOGY AND QUANTITATIVE MANAGEMENT,1684-3703,1811-4857,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Engineering, Industrial | Operations Research & Management Science | Statistics & Probability"
QUANTITATIVE FINANCE,1469-7688,1469-7696,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Mathematics, Interdisciplinary Applications"
QUANTITATIVE IMAGING IN MEDICINE AND SURGERY,2223-4292,2223-4306,AME PUBLISHING COMPANY,"FLAT-RM C 16F, KINGS WING PLAZA 1, NO 3 KWAN ST, SHATIN, PEOPLES R CHINA, HONG KONG, 00000",English,"Radiology, Nuclear Medicine & Medical Imaging"
QUANTITATIVE INFRARED THERMOGRAPHY JOURNAL,1768-6733,2116-7176,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Instruments & Instrumentation | Materials Science, Characterization, Testing | Physics, Applied"
QUANTUM,2521-327X,2521-327X,VEREIN FORDERUNG OPEN ACCESS PUBLIZIERENS QUANTENWISSENSCHAF,"BOLTZMANNGASSE 3, WIEN, AUSTRIA, 1090",English,"Quantum Science & Technology | Physics, Multidisciplinary"
QUANTUM ELECTRONICS,1063-7818,1468-4799,TURPION LTD,"C/O TURPION LTD, IOP PUBLISHING, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6HG",English,"Engineering, Electrical & Electronic | Quantum Science & Technology | Physics, Applied"
QUANTUM INFORMATION & COMPUTATION,1533-7146,1533-7146,"RINTON PRESS, INC","565 EDMUND TERRACE, PARAMUS, USA, NJ, 07652",English,"Computer Science, Theory & Methods | Quantum Science & Technology | Physics, Particles & Fields | Physics, Mathematical"
QUANTUM INFORMATION PROCESSING,1570-0755,1573-1332,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Quantum Science & Technology | Physics, Multidisciplinary | Physics, Mathematical"
QUANTUM SCIENCE AND TECHNOLOGY,2058-9565,2058-9565,IOP PUBLISHING LTD,"TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE",English,"Quantum Science & Technology | Physics, Multidisciplinary"
QUANTUM TOPOLOGY,1663-487X,1664-073X,EUROPEAN MATHEMATICAL SOC-EMS,"PUBLISHING HOUSE GMBH INST MATHEMATIK TECHNISCHE UNIV BERLIN STRASSE 17, JUNI 136, BERLIN, Germany, 10623",English,Mathematics | Quantum Science & Technology
QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,1470-9236,2041-4803,GEOLOGICAL SOC PUBL HOUSE,"UNIT 7, BRASSMILL ENTERPRISE CENTRE, BRASSMILL LANE, BATH, ENGLAND, AVON, BA1 3JN",English,"Engineering, Geological | Geosciences, Multidisciplinary"
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,1747-0218,1747-0226,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,Physiology | Psychology
QUARTERLY JOURNAL OF MATHEMATICS,0033-5606,1464-3847,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Mathematics
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,0033-5614,1464-3855,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Mathematics, Applied | Mechanics"
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1824-4785,1827-1936,EDIZIONI MINERVA MEDICA,"CORSO BRAMANTE 83-85 INT JOURNALS DEPT., TURIN, ITALY, 10126",English,"Radiology, Nuclear Medicine & Medical Imaging"
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,0035-9009,1477-870X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Meteorology & Atmospheric Sciences
QUARTERLY OF APPLIED MATHEMATICS,0033-569X,1552-4485,BROWN UNIV,"AMER MATH SOC, PO BOX 845904, BOSTON, USA, MA, 02284-5904",English,"Mathematics, Applied"
QUARTERLY REVIEW OF BIOLOGY,0033-5770,1539-7718,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",English,Biology
QUARTERLY REVIEWS OF BIOPHYSICS,0033-5835,1469-8994,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Biophysics
QUATERNAIRE,1142-2904,1965-0795,SOC GEOLOGIQUE FRANCE,"77, RUE CLAUDE-BERNARD, PARIS, FRANCE, F-75005",French,"Geosciences, Multidisciplinary"
QUATERNARY GEOCHRONOLOGY,1871-1014,1878-0350,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Geography, Physical | Geosciences, Multidisciplinary"
QUATERNARY INTERNATIONAL,1040-6182,1873-4553,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Geography, Physical | Geosciences, Multidisciplinary"
QUATERNARY RESEARCH,0033-5894,1096-0287,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Geography, Physical | Geosciences, Multidisciplinary"
QUATERNARY SCIENCE REVIEWS,0277-3791,1873-457X,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Geography, Physical | Geosciences, Multidisciplinary"
QUEST,0033-6297,1543-2750,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Sport Sciences
QUEUEING SYSTEMS,0257-0130,1572-9443,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Computer Science, Interdisciplinary Applications | Operations Research & Management Science"
QUIMICA NOVA,0100-4042,1678-7064,SOC BRASILEIRA QUIMICA,"CAIXA POSTAL 26037, SAO PAULO, BRAZIL, 05599-970","Portuguese, English, Spanish","Chemistry, Multidisciplinary"
QUINTESSENCE INTERNATIONAL,0033-6572,1936-7163,QUINTESSENCE PUBLISHING CO INC,"4350 CHANDLER DRIVE, HANOVER PARK, United States, IL, 60133",English,"Dentistry, Oral Surgery & Medicine"
RADIATION AND ENVIRONMENTAL BIOPHYSICS,0301-634X,1432-2099,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Multi-Language,"Biology | Biophysics | Environmental Sciences | Radiology, Nuclear Medicine & Medical Imaging"
RADIATION EFFECTS AND DEFECTS IN SOLIDS,1042-0150,1029-4953,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Nuclear Science & Technology | Physics, Fluids & Plasmas | Physics, Condensed Matter"
RADIATION MEASUREMENTS,1350-4487,1879-0925,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Nuclear Science & Technology
RADIATION ONCOLOGY,,1748-717X,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,"Oncology | Radiology, Nuclear Medicine & Medical Imaging"
RADIATION PHYSICS AND CHEMISTRY,0969-806X,1879-0895,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Chemistry, Physical | Nuclear Science & Technology | Physics, Atomic, Molecular & Chemical"
RADIATION PROTECTION DOSIMETRY,0144-8420,1742-3406,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Environmental Sciences | Public, Environmental & Occupational Health | Nuclear Science & Technology | Radiology, Nuclear Medicine & Medical Imaging"
RADIATION RESEARCH,0033-7587,1938-5404,RADIATION RESEARCH SOC,"810 E TENTH STREET, LAWRENCE, USA, KS, 66044",English,"Biology | Biophysics | Radiology, Nuclear Medicine & Medical Imaging"
RADIOCARBON,0033-8222,1945-5755,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Geochemistry & Geophysics
RADIOCHIMICA ACTA,0033-8230,2193-3405,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",Multi-Language,"Chemistry, Inorganic & Nuclear | Nuclear Science & Technology"
RADIOENGINEERING,1210-2512,1805-9600,SPOLECNOST PRO RADIOELEKTRONICKE INZENYRSTVI,"CZECH TECHNICAL UNIVERSITY, DEPT OF ELECTROMAGNETIC FIELD, TECHNICKA 2, PRAHA, CZECH REPUBLIC, CZ-16627",English,"Engineering, Electrical & Electronic"
RADIOGRAPHICS,0271-5333,1527-1323,RADIOLOGICAL SOC NORTH AMERICA (RSNA),"820 JORIE BLVD, SUITE 200 , OAK BROOK, United States, ILLINOIS, 60523-2251",English,"Radiology, Nuclear Medicine & Medical Imaging"
RADIOLOGIA MEDICA,0033-8362,1826-6983,SPRINGER-VERLAG ITALIA SRL,"VIA DECEMBRIO, 28, MILAN, ITALY, 20137",Multi-Language,"Radiology, Nuclear Medicine & Medical Imaging"
RADIOLOGIC CLINICS OF NORTH AMERICA,0033-8389,1557-8275,W B SAUNDERS CO-ELSEVIER INC,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899",English,"Radiology, Nuclear Medicine & Medical Imaging"
RADIOLOGIE,2731-7048,2731-7056,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",,"Radiology, Nuclear Medicine & Medical Imaging"
RADIOLOGY,0033-8419,0033-8419,RADIOLOGICAL SOC NORTH AMERICA (RSNA),"820 JORIE BLVD, SUITE 200 , OAK BROOK, United States, ILLINOIS, 60523-2251",English,"Radiology, Nuclear Medicine & Medical Imaging"
RADIOLOGY AND ONCOLOGY,1318-2099,1581-3207,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",English,"Oncology | Radiology, Nuclear Medicine & Medical Imaging"
RADIOPHYSICS AND QUANTUM ELECTRONICS,0033-8443,1573-9120,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Engineering, Electrical & Electronic | Physics, Applied | Physics, Fluids & Plasmas"
RADIOPROTECTION,0033-8451,1769-700X,EDP SCIENCES S A,"17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944",French,"Environmental Sciences | Public, Environmental & Occupational Health | Nuclear Science & Technology | Radiology, Nuclear Medicine & Medical Imaging"
RADIO SCIENCE,0048-6604,1944-799X,AMER GEOPHYSICAL UNION,"2000 FLORIDA AVE NW, WASHINGTON, USA, DC, 20009",English,Astronomy & Astrophysics | Geochemistry & Geophysics | Meteorology & Atmospheric Sciences | Remote Sensing | Telecommunications
RADIOTHERAPY AND ONCOLOGY,0167-8140,1879-0887,ELSEVIER IRELAND LTD,"ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000",English,"Oncology | Radiology, Nuclear Medicine & Medical Imaging"
RAFFLES BULLETIN OF ZOOLOGY,0217-2445,2345-7600,"NATL UNIV SINGAPOIRE, FAC SCIENCE,LEE KONG CHIAN NATURAL HISTORY MUSEUM","2 Conservatory Drive, Singapore, Singapore, 117377",English,Zoology
RAIRO-OPERATIONS RESEARCH,0399-0559,2804-7303,EDP SCIENCES S A,"17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944",English,Operations Research & Management Science
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,0988-3754,2804-7346,EDP SCIENCES S A,"17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944",English,"Computer Science, Theory & Methods | Mathematics, Applied"
RAMANUJAN JOURNAL,1382-4090,1572-9303,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Mathematics
RANDOM MATRICES-THEORY AND APPLICATIONS,2010-3263,2010-3271,WORLD SCIENTIFIC PUBL CO PTE LTD,"5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224",English,"Physics, Mathematical | Statistics & Probability"
RANDOM STRUCTURES & ALGORITHMS,1042-9832,1098-2418,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Computer Science, Software Engineering | Mathematics, Applied | Mathematics"
RANGELAND ECOLOGY & MANAGEMENT,1550-7424,1551-5028,SOC RANGE MANAGEMENT,"445 UNION BLVD, STE 230, LAKEWOOD, USA, CO, 80228-1259",English,Ecology | Environmental Sciences
RANGELAND JOURNAL,1036-9872,1834-7541,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, AUSTRALIA, VIC, 3168",English,Ecology
RANGE MANAGEMENT AND AGROFORESTRY,0971-2070,,RANGE MANAGEMENT SOC INDIA,"INDIAN GRASSLAND & FODDER RES INST, JHANSI, INDIA, 284 003",English,Agronomy
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,0951-4198,1097-0231,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Biochemical Research Methods | Chemistry, Analytical | Spectroscopy"
RAPID PROTOTYPING JOURNAL,1355-2546,1758-7670,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Engineering, Mechanical | Materials Science, Multidisciplinary"
RARE METAL MATERIALS AND ENGINEERING,1002-185X,1002-185X,NORTHWEST INST NONFERROUS METAL RESEARCH,"C/O RARE METAL MATERIAL ENGINEERING PRESS, PO BOX 51, XIAN, SHAANXI, PEOPLES R CHINA, 710016",Chinese,"Materials Science, Multidisciplinary | Metallurgy & Metallurgical Engineering"
RARE METALS,1001-0521,1867-7185,NONFERROUS METALS SOC CHINA,"12B FUXIN RD, BEIJING, PEOPLES R CHINA, 100814",English,"Materials Science, Multidisciplinary | Metallurgy & Metallurgical Engineering"
REACTION CHEMISTRY & ENGINEERING,2058-9883,2058-9883,ROYAL SOC CHEMISTRY,"THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF",English,"Chemistry, Multidisciplinary | Engineering, Chemical"
REACTION KINETICS MECHANISMS AND CATALYSIS,1878-5190,1878-5204,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Chemistry, Physical"
REACTIVE & FUNCTIONAL POLYMERS,1381-5148,1873-166X,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,"Chemistry, Applied | Engineering, Chemical | Polymer Science"
REAL-TIME SYSTEMS,0922-6443,1573-1383,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Computer Science, Theory & Methods"
RECENT PATENTS ON ANTI-CANCER DRUG DISCOVERY,1574-8928,2212-3970,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",English,Oncology | Pharmacology & Pharmacy
RECENT PATENTS ON NANOTECHNOLOGY,1872-2105,2212-4020,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",English,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied"
RECHT & PSYCHIATRIE,0724-2247,,PSYCHIATRIE VERLAG GMBH,"URSULAPLATZ 1, KOLN, GERMANY, D-50668",German,Psychiatry
RECHTSMEDIZIN,0937-9819,1434-5196,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",German,"Medicine, Legal"
RECORDS OF NATURAL PRODUCTS,1307-6167,1307-6167,ACG PUBLICATIONS,"YENIKENT MAHALLESI, FIRAT CADDESI, 1-3, GEBZE-KOCAELI, TURKEY, 41400",English,"Plant Sciences | Chemistry, Applied | Chemistry, Medicinal"
RECORDS OF THE AUSTRALIAN MUSEUM,0067-1975,0067-1975,AUSTRALIAN MUSEUM,"6 COLLEGE ST, SYDNEY, AUSTRALIA, NSW, 2010",English,Zoology
REDIA-JOURNAL OF ZOOLOGY,0370-4327,0370-4327,CRA-RESEARCH CENTRE AGROBIOLOGY & PEDOLOGY,"VIA LANCIOLA 12-A, FIRENZE, ITALY, 50125",English,Zoology
REDOX BIOLOGY,2213-2317,2213-2317,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Biochemistry & Molecular Biology
REDOX REPORT,1351-0002,1743-2928,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Biochemistry & Molecular Biology
REFRACTORIES AND INDUSTRIAL CERAMICS,1083-4877,1573-9139,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Materials Science, Ceramics"
REGENERATIVE BIOMATERIALS,2056-3418,2056-3426,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Materials Science, Biomaterials"
REGENERATIVE MEDICINE,1746-0751,1746-076X,FUTURE MEDICINE LTD,"UNITEC HOUSE, 3RD FLOOR, 2 ALBERT PLACE, FINCHLEY CENTRAL, LONDON, ENGLAND, N3 1QB",English,"Cell & Tissue Engineering | Engineering, Biomedical"
REGENERATIVE THERAPY,2352-3204,2352-3204,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,"Cell & Tissue Engineering | Engineering, Biomedical"
REGIONAL ANESTHESIA AND PAIN MEDICINE,1098-7339,1532-8651,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR",English,Anesthesiology
REGIONAL ENVIRONMENTAL CHANGE,1436-3798,1436-378X,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,Environmental Sciences
REGIONAL STUDIES IN MARINE SCIENCE,2352-4855,2352-4855,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Ecology | Marine & Freshwater Biology
REGULAR & CHAOTIC DYNAMICS,1560-3547,1468-4845,PLEIADES PUBLISHING INC,"PLEIADES HOUSE, 7 W 54 ST, NEW YORK, United States,  NY, 10019",English,"Mathematics, Applied | Mechanics | Physics, Mathematical"
REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,1096-0295,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Medicine, Legal | Pharmacology & Pharmacy | Toxicology"
REHABILITATION,0034-3536,1439-1309,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",German,Rehabilitation
REHABILITATION NURSING,0278-4807,2048-7940,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Nursing | Rehabilitation
REJUVENATION RESEARCH,1549-1684,1557-8577,"MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801",English,Geriatrics & Gerontology
RELIABILITY ENGINEERING & SYSTEM SAFETY,0951-8320,1879-0836,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",Multi-Language,"Engineering, Industrial | Operations Research & Management Science"
REMOTE SENSING,,2072-4292,MDPI,"ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052",English,"Environmental Sciences | Geosciences, Multidisciplinary | Remote Sensing | Imaging Science & Photographic Technology"
REMOTE SENSING IN ECOLOGY AND CONSERVATION,,2056-3485,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030",English,Ecology | Remote Sensing
REMOTE SENSING LETTERS,2150-704X,2150-7058,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Remote Sensing | Imaging Science & Photographic Technology
REMOTE SENSING OF ENVIRONMENT,0034-4257,1879-0704,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,Environmental Sciences | Remote Sensing | Imaging Science & Photographic Technology
RENAL FAILURE,0886-022X,1525-6049,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Urology & Nephrology
RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA,0041-8994,2240-2926,EUROPEAN MATHEMATICAL SOC-EMS,"PUBLISHING HOUSE GMBH INST MATHEMATIK TECHNISCHE UNIV BERLIN STRASSE 17, JUNI 136, BERLIN, Germany, 10623",English,"Mathematics, Applied | Mathematics"
